FamilyID	Streptanthus<1>	Cam<2>	Spi<3>	Rsq<4>	Boh<5>	Tpa<6>	Tar<7>	Aal<8>	Dni<9>	Ath<10>	Aly<11>	Chi<12>	Esy<13>	Aar<14>	<15>	<16>	<17>	<18>	<19>	<20>	<21>	<22>	<23>	<24>	<25>	<26>	<27>
OG0000301	4	12	6	1	10	6	7	5	4	6	6	6	7	4	4	5	6	6	6	6	6	6	6	6	5	6	6
OG0000303	6	8	5	6	6	5	5	5	2	5	5	7	5	13	5	5	5	5	5	5	5	5	6	6	5	5	5
OG0000304	0	18	5	0	8	2	5	1	5	13	8	7	5	6	4	5	5	5	5	5	5	5	5	5	4	7	9
OG0000305	0	0	0	0	11	0	0	0	0	0	0	0	2	70	3	2	1	1	1	1	1	0	0	2	0	0	0
OG0000307	2	8	4	12	3	5	7	7	2	9	8	7	1	7	4	4	5	5	5	5	5	5	5	5	5	6	8
OG0000308	7	6	7	8	7	4	5	6	3	5	5	5	2	12	5	5	5	5	5	5	6	6	6	7	5	5	5
OG0000309	7	6	8	10	11	5	5	7	5	5	5	5	1	2	3	3	5	5	5	6	7	7	7	10	5	5	5
OG0000310	2	6	4	4	7	9	9	4	5	8	6	10	2	6	4	5	6	6	6	6	6	5	5	6	5	7	7
OG0000311	6	12	4	0	13	6	6	6	4	6	6	6	2	5	4	4	5	5	5	5	5	6	7	5	5	6	6
OG0000312	2	0	10	4	17	0	1	0	6	0	0	0	3	39	3	3	2	2	2	2	3	3	2	6	2	0	0
OG0000316	4	7	8	6	5	4	6	7	5	7	11	10	0	1	2	3	6	6	6	6	6	6	6	6	6	8	8
OG0000318	3	9	12	3	7	4	11	1	0	4	3	12	9	3	4	5	5	5	6	6	6	7	7	6	1	5	4
OG0000319	0	10	4	1	5	4	7	2	4	8	10	6	12	8	4	5	5	5	5	4	4	4	4	4	4	6	8
OG0000321	0	5	6	0	4	0	15	1	5	26	10	7	0	2	2	2	4	4	4	4	4	4	4	4	4	7	12
OG0000325	3	6	9	4	6	6	6	4	5	8	7	4	8	4	4	5	6	6	6	6	6	6	6	6	5	6	7
OG0000326	8	9	2	9	7	1	4	9	2	6	6	5	6	6	4	5	5	5	5	5	6	6	8	7	5	5	6
OG0000327	4	7	8	6	10	3	5	7	7	6	5	4	5	3	4	5	5	5	5	5	6	6	6	7	6	5	5
OG0000329	0	2	2	2	5	2	3	1	3	13	16	16	4	10	4	4	4	3	3	3	3	2	2	3	3	10	13
OG0000330	0	18	3	9	8	7	5	1	4	2	3	9	7	3	4	5	5	5	5	6	6	6	6	8	4	5	3
OG0000333	2	3	14	2	6	4	5	8	10	3	5	5	10	1	4	5	5	5	5	5	5	5	3	5	7	5	5
